Genus	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	190	397	231	939	307	1644	1481	426	319	1313	217	411	1610	929	224	807	313	653	747	820	449	596	365	241	622	234	1137	755	902	218	247	695
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio	1	5	9	2	5	2	0	1	5	2	0	0	16	5	2	6	1	6	4	3	1	2	3	0	2	7	6	8	4	1	5	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;CAG-56	0	0	1	4	0	3	0	3	0	1	0	0	0	1	1	2	1	5	0	0	0	4	3	0	10	0	0	4	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cuneatibacter	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	110	660	141	505	529	67	144	103	199	29	9	23	756	57	12	17	31	10	245	91	306	233	29	81	79	33	340	144	185	27	170	28
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter	4	3	26	4	3	43	92	15	17	11	0	39	97	35	79	51	28	77	125	22	16	51	11	49	122	1	66	40	66	21	3	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella	60	1617	515	494	352	57	46	77	814	257	34	134	122	308	1034	28	75	131	276	191	259	24	14	53	27	443	124	22	17	15	1158	62
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium	7	0	4	1	0	4	2	2	48	2	5	3	28	48	4	2	7	3	2	6	2	4	5	1	10	2	5	10	2	0	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 5	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	1	13	0	0	0	1	0	8	1	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae ND3007 group	1	0	35	0	0	289	4	9	28	28	2	17	185	40	19	23	19	175	164	61	6	27	27	54	13	0	56	29	135	103	43	31
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group	228	84	168	2657	119	495	402	179	318	152	1134	2020	747	208	732	1612	488	3663	1102	387	632	1338	919	333	314	32	252	329	803	876	677	220
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-004	0	0	1	0	0	4	0	0	0	0	0	0	0	10	0	0	1	16	5	0	0	1	4	7	3	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella	0	0	0	0	0	0	30	3	0	0	0	2	1	0	1	3	0	6	6	6	6	5	0	0	0	7	16	3	11	20	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	418	1134	286	31	9	612	591	416	1287	339	37	71	1437	1308	222	284	173	327	738	351	593	464	217	383	463	99	592	317	856	571	251	1350
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sellimonas	7	5	0	0	31	117	0	2	119	53	0	5	5	29	0	57	0	25	20	16	0	3	11	0	1	10	1	3	3	0	1	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella	7	0	0	0	0	53	0	5	302	0	4	11	12	2	7	7	0	0	0	124	0	0	50	0	0	0	0	0	1	0	22	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella 3	0	0	0	0	0	0	0	4	1	0	0	102	12	0	0	0	0	251	0	0	143	0	0	16	0	0	16	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group	31	23	371	73	2	962	249	212	41	76	133	87	482	176	67	295	303	289	310	165	271	219	110	85	115	5	305	571	503	119	1122	85
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ruminantium group	0	45	13	12	0	267	1	10	3	27	0	7	4	73	13	1	62	38	22	0	6	121	24	4	50	0	230	558	285	2	219	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group	25	606	21	8	1	22	43	12	113	28	2	9	131	60	7	6	12	16	40	9	14	17	16	13	40	10	20	27	43	4	9	29
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured organism	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?	1	0	6	0	0	0	0	34	11	0	0	0	0	0	45	4	0	28	0	0	2	1	1	0	11	0	0	3	4	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	0	0	0	125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	1	0	0	35	4	0	0	0	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia	25	224	44	345	220	5	42	3	4	2	2113	15	152	73	2	1	38	32	29	115	341	54	35	391	7	17	171	21	45	118	0	390
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?	117	250	698	78	0	62	7	312	351	16	0	13	101	161	349	74	132	368	67	209	16	69	48	15	338	84	159	266	281	25	94	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium	2	20	1	1	0	0	0	2	0	0	0	5	0	0	1	1	0	3	0	0	0	0	5	0	1	4	0	0	0	0	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum	0	0	9	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	5	0	2	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0	8	1	0	0	0	0	2	0	0	0	1	7	0	6	0	0	6	1	4	0	0	0	0	11	0	0	1	7	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella	0	0	0	0	0	0	0	15	0	0	0	0	0	0	8	25	0	18	0	0	0	0	0	0	11	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	82	236	3	8	0	6	17	18	57	3	0	11	48	155	3	29	15	29	171	4	69	13	7	32	26	4	69	91	14	44	110	18
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;CAG-352	0	0	2	0	0	1	0	22	11	0	0	0	0	0	33	5	6	1257	0	2	0	0	0	16	38	1	1	32	6	0	240	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus Soleaferrea	4	29	5	39	13	1	2	12	1	4	0	1	11	1	0	0	2	0	2	3	0	1	1	3	2	5	0	3	0	3	0	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	2775	1	1241	254	2499	4347	4546	2323	845	4942	1	6015	4483	7075	1617	2866	4061	7791	5346	4834	1042	5396	1094	3245	801	7433	3788	2531	5297	3576	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella	272	1	0	1	0	2	2	0	0	1	0	0	0	2	0	3	0	0	0	34	0	64	231	1	0	3	0	0	70	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia	0	0	0	0	0	0	0	1	2	0	0	0	1	0	7	0	0	2	0	2	0	0	0	0	1	1	0	1	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas	9	218	4	0	0	12	0	43	9	89	0	10	0	65	88	14	5	33	18	16	5	8	14	0	22	111	1	16	12	9	64	9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus	0	0	28	0	0	0	0	2	0	0	0	0	0	0	47	2	0	7	0	1	0	0	0	0	8	1	12	28	40	0	1	0
